Code	Nom
C1321351	salmonella vi , group o:45
C1078709	genus novosphingobium
C1078709	novosphingobium takeuchi et al . 2001
C1078709	novosphingobium
C1295747	arcanobacterium sp .
C1295747	arcanobacterium species
C0315543	salmonella 6,7:(g),m,[s],t:1,5
C0315543	salmonella ii 6,7:(g),m,(s),t:1,5
C0316908	salmonella iiib 42:l , v : e , n , x , z15
C0316908	salmonella iii arizonae 42:l , v : e , n , x , z15
C2733408	streptococcus pyogenes type emm65
C1028571	nitrosospira tenuis ( ex harms et al . 1976 ) head et al . 1995
C1028571	nitrosovibrio tenius
C1028571	nitrosospira tenuis
